"","REF_DATE","City","Province","VALUE","covid"
"1",2017-10-01,"St. John's","NL",124.2,"Pre-COVID"
"2",2017-11-01,"St. John's","NL",130.5,"Pre-COVID"
"3",2017-12-01,"St. John's","NL",133.4,"Pre-COVID"
"4",2018-01-01,"St. John's","NL",136.5,"Pre-COVID"
"5",2018-02-01,"St. John's","NL",134.7,"Pre-COVID"
"6",2018-03-01,"St. John's","NL",134.4,"Pre-COVID"
"7",2018-04-01,"St. John's","NL",133.1,"Pre-COVID"
"8",2018-05-01,"St. John's","NL",139.4,"Pre-COVID"
"9",2018-06-01,"St. John's","NL",139.2,"Pre-COVID"
"10",2018-07-01,"St. John's","NL",139.2,"Pre-COVID"
"11",2018-08-01,"St. John's","NL",137.6,"Pre-COVID"
"12",2018-09-01,"St. John's","NL",141.5,"Pre-COVID"
"13",2018-10-01,"St. John's","NL",148.1,"Pre-COVID"
"14",2018-11-01,"St. John's","NL",142.7,"Pre-COVID"
"15",2018-12-01,"St. John's","NL",132.7,"Pre-COVID"
"16",2019-01-01,"St. John's","NL",133.4,"Pre-COVID"
"17",2019-02-01,"St. John's","NL",136.4,"Pre-COVID"
"18",2019-03-01,"St. John's","NL",138.5,"Pre-COVID"
"19",2019-04-01,"St. John's","NL",136.8,"Pre-COVID"
"20",2019-05-01,"St. John's","NL",138.3,"Pre-COVID"
"21",2019-06-01,"St. John's","NL",129.3,"Pre-COVID"
"22",2019-07-01,"St. John's","NL",130.3,"Pre-COVID"
"23",2019-08-01,"St. John's","NL",128.1,"Pre-COVID"
"24",2019-09-01,"St. John's","NL",130.2,"Pre-COVID"
"25",2019-10-01,"St. John's","NL",135.2,"Pre-COVID"
"26",2019-11-01,"St. John's","NL",135.1,"Pre-COVID"
"27",2019-12-01,"St. John's","NL",137.1,"Pre-COVID"
"28",2020-01-01,"St. John's","NL",136.5,"Pre-COVID"
"29",2020-02-01,"St. John's","NL",123.9,"Pre-COVID"
"30",2020-03-01,"St. John's","NL",109.6,"COVID"
